"sample" "depth" "depth_g-cm-2" "C" "std" "nuclide"
"s01" 300 643 46216  1728 "10Be"
"s02" 200 429 64965  2275 "10Be"
"s03" 150 322 128570 2766 "10Be"
"s04" 100 214 191825 3303 "10Be"
"s05" 60  129 323967 5454 "10Be"
