"sample" "depth" "depth_g-cm-2" "C" "std" "nuclide"
"s01" 500 -9999 113836  5532 "10Be"
"s02" 405 -9999 211686  8726 "10Be"
"s03" 300 -9999 56921   3797 "10Be"
"s04" 205 -9999 100178  7588 "10Be"
"s05" 150 -9999 174857  8002 "10Be"
"s06" 85  -9999 305951  12855 "10Be"
"s07" 50  -9999 483534  21025 "10Be"
#"s08" 10  -9999 1423171 47585 "10Be" 
