"sample" "depth" "depth_g-cm-2" "C" "std" "nuclide"
"s01" 27.5  -9999 568744 17347 "10Be"
"s02" 57.5  -9999 406713 11469 "10Be"
"s03" 97.5  -9999 292243 8972  "10Be"
"s04" 137.5 -9999 203072 6234  "10Be"
"s05" 177.5 -9999 157209 4921  "10Be"
"s06" 217.5 -9999 134198 3892  "10Be"
