"sample" "depth" "depth_g-cm-2" "C" "std" "nuclide"
"s01" 450 886 118424 6928  "10Be"
"s02" 400 788 81698  5991  "10Be"
"s03" 350 689 133908 4949  "10Be"
"s04" 300 591 133243 8756  "10Be"
"s06" 200 394 255119 9940  "10Be"
"s07" 175 345 333152 11792 "10Be"
"s08" 150 295 387154 14811 "10Be"
"s09" 125 246 436636 17066 "10Be"
"s10" 100 197 710515 24670 "10Be"
